scheme_name,amc,scheme_type,scheme_sub_type,trail_brokerage_incl_gst,amc_normalised
Bajaj Finserv Liquid Fund,Bajaj Finserv Mutual Fund,DEBT,Liquid Fund,0.04,Bajaj Finserv Mutual Fund
Bajaj Finserv Low Duration Fund,Bajaj Finserv Mutual Fund,DEBT,Low Duration Fund,0.48,Bajaj Finserv Mutual Fund
Bajaj Finserv Money Market Fund,Bajaj Finserv Mutual Fund,DEBT,Money Market Fund,0.24,Bajaj Finserv Mutual Fund
Bajaj Finserv Multi Asset Allocation Fund,Bajaj Finserv Mutual Fund,HYBRID,Multi Asset Allocation,1.17,Bajaj Finserv Mutual Fund
Bajaj Finserv Multi Cap Fund,Bajaj Finserv Mutual Fund,EQUITY,Multi Cap Fund,1.49,Bajaj Finserv Mutual Fund
Bajaj Finserv Nifty 50 Index Fund,Bajaj Finserv Mutual Fund,EQUITY,Index / ETF,0.44,Bajaj Finserv Mutual Fund
Bajaj Finserv Nifty Next 50 Index Fund,Bajaj Finserv Mutual Fund,EQUITY,Index / ETF,0.44,Bajaj Finserv Mutual Fund
Bajaj Finserv Overnight Fund,Bajaj Finserv Mutual Fund,DEBT,Overnight Fund,0.04,Bajaj Finserv Mutual Fund
Bajaj Finserv Small Cap Fund,Bajaj Finserv Mutual Fund,EQUITY,Small Cap Fund,1.39,Bajaj Finserv Mutual Fund
Bandhan Aggressive Hybrid Fund,Bandhan Mutual Fund,HYBRID,Aggressive Hybrid Fund,1.4,Bandhan Mutual Fund
Bandhan Aggressive Hybrid Passive FOF,Bandhan Mutual Fund,EQUITY,FOF Domestic Equity,0.11,Bandhan Mutual Fund
Bandhan Arbitrage Fund,Bandhan Mutual Fund,DEBT,Arbitrage Fund,0.58,Bandhan Mutual Fund
Bandhan BSE Healthcare Index Fund,Bandhan Mutual Fund,EQUITY,Index / ETF,0.59,Bandhan Mutual Fund
Bandhan BSE India Sector Leaders Index Fund,Bandhan Mutual Fund,EQUITY,Index / ETF,0.53,Bandhan Mutual Fund
Bandhan Balanced Advantage Fund,Bandhan Mutual Fund,HYBRID,Balanced Advantage Fund,1.24,Bandhan Mutual Fund
Bandhan Banking and PSU Fund,Bandhan Mutual Fund,DEBT,Banking and PSU Debt Fund,0.31,Bandhan Mutual Fund
Bandhan Business Cycle Fund,Bandhan Mutual Fund,EQUITY,Thematic Fund,1.31,Bandhan Mutual Fund
Bandhan CRISIL Gilt 2027 Index Fund,Bandhan Mutual Fund,DEBT,Medium to Long Duration Fund,0.24,Bandhan Mutual Fund
Bandhan CRISIL Gilt 2028 Index Fund,Bandhan Mutual Fund,DEBT,Medium to Long Duration Fund,0.24,Bandhan Mutual Fund
Bandhan CRISIL IBX 90-10 SDL Plus Gilt- April 2032 Index Fund,Bandhan Mutual Fund,DEBT,Medium to Long Duration Fund,0.13,Bandhan Mutual Fund
Bandhan CRISIL IBX 90-10 SDL Plus Gilt- November 2026 Index Fund,Bandhan Mutual Fund,DEBT,Medium to Long Duration Fund,0.17,Bandhan Mutual Fund
Bandhan CRISIL IBX 90-10 SDL Plus Gilt-September 2027 Index Fund,Bandhan Mutual Fund,DEBT,Medium to Long Duration Fund,0.17,Bandhan Mutual Fund
Bandhan CRISIL-IBX 10-90 Gilt Plus SDL Index - Dec 2029 Fund,Bandhan Mutual Fund,DEBT,Medium to Long Duration Fund,0.17,Bandhan Mutual Fund
Bandhan CRISIL-IBX Financial Services 3-6 Months Debt Index Fund,Bandhan Mutual Fund,DEBT,Medium to Long Duration Fund,0.55,Bandhan Mutual Fund
Bandhan Conservative Hybrid Fund,Bandhan Mutual Fund,DEBT,Conservative Hybrid Fund,0.97,Bandhan Mutual Fund
Bandhan Conservative Hybrid Passive FOF,Bandhan Mutual Fund,HYBRID,FOF Domestic Hybrid,0.12,Bandhan Mutual Fund
Bandhan Corporate Bond Fund,Bandhan Mutual Fund,DEBT,Corporate Bond Fund,0.31,Bandhan Mutual Fund
Bandhan Credit Risk Fund,Bandhan Mutual Fund,DEBT,Credit Risk Fund,0.9,Bandhan Mutual Fund
Bandhan Crisil IBX Gilt April 2026 Index Fund,Bandhan Mutual Fund,DEBT,Medium to Long Duration Fund,0.21,Bandhan Mutual Fund
Bandhan Crisil IBX Gilt April 2032 Index Fund,Bandhan Mutual Fund,DEBT,Medium to Long Duration Fund,0.22,Bandhan Mutual Fund
Bandhan Dynamic Bond Fund,Bandhan Mutual Fund,DEBT,Dynamic Bond Fund,0.83,Bandhan Mutual Fund
Bandhan ELSS Tax saver Fund,Bandhan Mutual Fund,EQUITY,ELSS,0.99,Bandhan Mutual Fund
Bandhan Equity Savings Fund,Bandhan Mutual Fund,HYBRID,Equity Savings Fund,0.64,Bandhan Mutual Fund
Bandhan Financial Services Fund,Bandhan Mutual Fund,EQUITY,Sectoral Fund,1.49,Bandhan Mutual Fund
Bandhan Flexi Cap Fund,Bandhan Mutual Fund,EQUITY,Flexi Cap Fund,1.03,Bandhan Mutual Fund
Bandhan Floater Fund,Bandhan Mutual Fund,DEBT,Floater Fund,0.39,Bandhan Mutual Fund
Bandhan Focused Fund,Bandhan Mutual Fund,EQUITY,Focused Fund,1.31,Bandhan Mutual Fund
Bandhan Gilt Fund,Bandhan Mutual Fund,DEBT,Gilt Fund,0.6,Bandhan Mutual Fund
Bandhan Gilt Fund with 10 year constant duration Fund,Bandhan Mutual Fund,DEBT,Gilt Fund with 10 year constant duration,0.22,Bandhan Mutual Fund
Bandhan Gold ETF FoF,Bandhan Mutual Fund,OTHERS,GOLD PLAN,0.34,Bandhan Mutual Fund
Bandhan Healthcare Fund,Bandhan Mutual Fund,EQUITY,Sectoral Fund,1.64,Bandhan Mutual Fund
Bandhan Income Plus Arbitrage Active FOF,Bandhan Mutual Fund,DEBT,FOF Domestic Debt,0.15,Bandhan Mutual Fund
Bandhan Infrastructure Fund,Bandhan Mutual Fund,EQUITY,Thematic Fund,1.31,Bandhan Mutual Fund
Bandhan Innovation Fund,Bandhan Mutual Fund,EQUITY,Thematic Fund,1.29,Bandhan Mutual Fund
Bandhan Large & Mid Cap Fund,Bandhan Mutual Fund,EQUITY,Large and Mid Cap Fu,0.98,Bandhan Mutual Fund
Bandhan Large Cap Fund,Bandhan Mutual Fund,EQUITY,Large Cap Fund,1.24,Bandhan Mutual Fund
Bandhan Liquid Fund,Bandhan Mutual Fund,DEBT,Liquid Fund,0.09,Bandhan Mutual Fund
Bandhan Long Duration Fund,Bandhan Mutual Fund,DEBT,Long Duration Fund,0.35,Bandhan Mutual Fund
Bandhan Low Duration Fund,Bandhan Mutual Fund,DEBT,Low Duration Fund,0.32,Bandhan Mutual Fund
Bandhan Medium Duration Fund,Bandhan Mutual Fund,DEBT,Medium Duration Fund,0.71,Bandhan Mutual Fund
Bandhan Medium to Long Duration Fund,Bandhan Mutual Fund,DEBT,Medium to Long Duration Fund,1.03,Bandhan Mutual Fund
Bandhan Midcap Fund,Bandhan Mutual Fund,EQUITY,Mid Cap Fund,1.27,Bandhan Mutual Fund
Bandhan Money Market Fund,Bandhan Mutual Fund,DEBT,Money Market Fund,0.17,Bandhan Mutual Fund
Bandhan Multi - Asset Passive FOF,Bandhan Mutual Fund,HYBRID,FOF Domestic Hybrid,0.14,Bandhan Mutual Fund
Bandhan Multi Asset Allocation Fund,Bandhan Mutual Fund,HYBRID,Multi Asset Allocation,1.14,Bandhan Mutual Fund
Bandhan Multi Cap Fund,Bandhan Mutual Fund,EQUITY,Multi Cap Fund,1.23,Bandhan Mutual Fund
Bandhan Multi Factor Fund,Bandhan Mutual Fund,EQUITY,Thematic Fund,1.65,Bandhan Mutual Fund
Bandhan Nifty 100 Index Fund,Bandhan Mutual Fund,EQUITY,Index / ETF,0.34,Bandhan Mutual Fund
Bandhan Nifty 200 Quality 30 Index Fund,Bandhan Mutual Fund,EQUITY,Index / ETF,0.52,Bandhan Mutual Fund
Bandhan Nifty 50 Index Fund,Bandhan Mutual Fund,EQUITY,Index / ETF,0.34,Bandhan Mutual Fund
Bandhan Nifty 500 Momentum 50 Index Fund,Bandhan Mutual Fund,EQUITY,Index / ETF,0.58,Bandhan Mutual Fund
Bandhan Nifty 500 Value 50 Index Fund,Bandhan Mutual Fund,EQUITY,Index / ETF,0.58,Bandhan Mutual Fund
Bandhan Nifty Alpha 50 Index Fund,Bandhan Mutual Fund,EQUITY,Index / ETF,0.58,Bandhan Mutual Fund
Bandhan Nifty Alpha Low Volatility 30 Index Fund,Bandhan Mutual Fund,EQUITY,Index / ETF,0.57,Bandhan Mutual Fund
Bandhan Nifty Bank Index Fund,Bandhan Mutual Fund,EQUITY,Index / ETF,0.57,Bandhan Mutual Fund
Bandhan Nifty IT Index Fund (OLD),Bandhan Mutual Fund,EQUITY,Index / ETF,0.58,Bandhan Mutual Fund
Bandhan Nifty Midcap 150 Index Fund,Bandhan Mutual Fund,EQUITY,Index / ETF,0.48,Bandhan Mutual Fund
Bandhan Nifty Next 50 Index Fund,Bandhan Mutual Fund,EQUITY,Index / ETF,0.54,Bandhan Mutual Fund
Bandhan Nifty Smallcap 250 Index Fund,Bandhan Mutual Fund,EQUITY,Index / ETF,0.52,Bandhan Mutual Fund
Bandhan Nifty Total Market Index Fund,Bandhan Mutual Fund,EQUITY,Index / ETF,0.6,Bandhan Mutual Fund
Bandhan Nifty100 Low Volatility 30 Index Fund,Bandhan Mutual Fund,EQUITY,Index / ETF,0.6,Bandhan Mutual Fund
Bandhan Nifty200 Momentum 30 Index Fund,Bandhan Mutual Fund,EQUITY,Index / ETF,0.64,Bandhan Mutual Fund
Bandhan Overnight Fund,Bandhan Mutual Fund,DEBT,Overnight Fund,0.05,Bandhan Mutual Fund
Bandhan Retirement Fund,Bandhan Mutual Fund,HYBRID,Aggressive Hybrid Fund,1.58,Bandhan Mutual Fund
Bandhan Short Duration Fund,Bandhan Mutual Fund,DEBT,Short Duration Fund,0.41,Bandhan Mutual Fund
Bandhan Silver ETF FoF,Bandhan Mutual Fund,OTHERS,Silver Plan,0.38,Bandhan Mutual Fund
Bandhan Small Cap Fund,Bandhan Mutual Fund,EQUITY,Small Cap Fund,0.96,Bandhan Mutual Fund
Bandhan Transportation and Logistics Fund,Bandhan Mutual Fund,EQUITY,Thematic Fund,1.64,Bandhan Mutual Fund
Bandhan US Treasury Bond 0-1 year specific Debt Passive FOF,Bandhan Mutual Fund,DEBT,Money Market Fund,0.04,Bandhan Mutual Fund
Bandhan US specific Equity Active FOF,Bandhan Mutual Fund,EQUITY,FOF Overseas,0.97,Bandhan Mutual Fund
Bandhan Ultra Short Duration Fund,Bandhan Mutual Fund,DEBT,Ultra Short Duration Fund,0.2,Bandhan Mutual Fund
Bandhan Value Fund,Bandhan Mutual Fund,EQUITY,Value Fund,1.0,Bandhan Mutual Fund
Bank of India Arbitrage Fund,Bank of India Mutual Fund,DEBT,Arbitrage Fund,0.4,Bank of India Mutual Fund
Bank of India Balanced Advantage Fund,Bank of India Mutual Fund,HYBRID,Balanced Advantage Fund,1.59,Bank of India Mutual Fund
Bank of India Banking & Financial Services Fund,Bank of India Mutual Fund,EQUITY,Sectoral Fund,1.62,Bank of India Mutual Fund
Bank of India Business Cycle Fund,Bank of India Mutual Fund,EQUITY,Thematic Fund,1.5,Bank of India Mutual Fund
Bank of India Conservative Hybrid Fund,Bank of India Mutual Fund,DEBT,Conservative Hybrid Fund,1.26,Bank of India Mutual Fund
Bank of India Consumption Fund,Bank of India Mutual Fund,EQUITY,Thematic Fund,1.56,Bank of India Mutual Fund
Bank of India ELSS Tax Saver,Bank of India Mutual Fund,EQUITY,ELSS,1.2,Bank of India Mutual Fund
Bank of India Flexi Cap Fund,Bank of India Mutual Fund,EQUITY,Flexi Cap Fund,1.19,Bank of India Mutual Fund
Bank of India Large & Mid Cap Fund,Bank of India Mutual Fund,EQUITY,Large and Mid Cap Fu,1.59,Bank of India Mutual Fund
Bank of India Large Cap Fund,Bank of India Mutual Fund,EQUITY,Large Cap Fund,1.58,Bank of India Mutual Fund
Bank of India Liquid Fund,Bank of India Mutual Fund,DEBT,Liquid Fund,0.02,Bank of India Mutual Fund
Bank of India Manufacturing and Infrastructure fund,Bank of India Mutual Fund,EQUITY,Thematic Fund,1.56,Bank of India Mutual Fund
Bank of India Mid & Small Cap Equity & Debt Fund,Bank of India Mutual Fund,HYBRID,Aggressive Hybrid Fund,1.38,Bank of India Mutual Fund
Bank of India Mid Cap Fund,Bank of India Mutual Fund,EQUITY,Mid Cap Fund,1.56,Bank of India Mutual Fund
Bank of India Money Market Fund,Bank of India Mutual Fund,DEBT,Money Market Fund,0.39,Bank of India Mutual Fund
Bank of India Multi Asset Allocation Fund,Bank of India Mutual Fund,HYBRID,Multi Asset Allocation,1.17,Bank of India Mutual Fund
Bank of India Multi Cap Fund,Bank of India Mutual Fund,EQUITY,Multi Cap Fund,1.42,Bank of India Mutual Fund
Bank of India Overnight Fund,Bank of India Mutual Fund,DEBT,Overnight Fund,0.02,Bank of India Mutual Fund
Bank of India Short Term Income Fund,Bank of India Mutual Fund,DEBT,Short Duration Fund,0.61,Bank of India Mutual Fund
Bank of India Small Cap Fund,Bank of India Mutual Fund,EQUITY,Small Cap Fund,1.24,Bank of India Mutual Fund
Bank of India Ultra Short Duration Fund,Bank of India Mutual Fund,DEBT,Ultra Short Duration Fund,0.31,Bank of India Mutual Fund
Baroda BNP Paribas Aggressive Hybrid Fund,Baroda BNP Paribas Mutual Fund,HYBRID,Aggressive Hybrid Fund,1.33,Baroda BNP Paribas Mutual Fund
Baroda BNP Paribas Aqua Fund of Fund,Baroda BNP Paribas Mutual Fund,EQUITY,FOF Overseas,0.79,Baroda BNP Paribas Mutual Fund
Baroda BNP Paribas Arbitrage Fund,Baroda BNP Paribas Mutual Fund,DEBT,Arbitrage Fund,0.46,Baroda BNP Paribas Mutual Fund
Baroda BNP Paribas Balanced Advantage Fund,Baroda BNP Paribas Mutual Fund,HYBRID,Balanced Advantage Fund,1.0,Baroda BNP Paribas Mutual Fund
Baroda BNP Paribas Banking and Financial Services Fund,Baroda BNP Paribas Mutual Fund,EQUITY,Sectoral Fund,1.64,Baroda BNP Paribas Mutual Fund
Baroda BNP Paribas Business Conglomerates Fund,Baroda BNP Paribas Mutual Fund,EQUITY,Thematic Fund,1.58,Baroda BNP Paribas Mutual Fund
Baroda BNP Paribas Business Cycle Fund,Baroda BNP Paribas Mutual Fund,EQUITY,Thematic Fund,1.58,Baroda BNP Paribas Mutual Fund
Baroda BNP Paribas Childrens Fund,Baroda BNP Paribas Mutual Fund,HYBRID,Aggressive Hybrid Fund,1.64,Baroda BNP Paribas Mutual Fund
Baroda BNP Paribas Conservative Hybrid Fund,Baroda BNP Paribas Mutual Fund,DEBT,Conservative Hybrid Fund,1.16,Baroda BNP Paribas Mutual Fund
Baroda BNP Paribas Corporate Bond Fund,Baroda BNP Paribas Mutual Fund,DEBT,Corporate Bond Fund,0.12,Baroda BNP Paribas Mutual Fund
Baroda BNP Paribas Credit Risk Fund,Baroda BNP Paribas Mutual Fund,DEBT,Credit Risk Fund,0.8,Baroda BNP Paribas Mutual Fund
Baroda BNP Paribas Dividend Yield Fund,Baroda BNP Paribas Mutual Fund,EQUITY,Dividend Yield Fund,1.42,Baroda BNP Paribas Mutual Fund
Baroda BNP Paribas Dynamic Bond Fund,Baroda BNP Paribas Mutual Fund,DEBT,Dynamic Bond Fund,0.96,Baroda BNP Paribas Mutual Fund
Baroda BNP Paribas ELSS Tax Saver Fund,Baroda BNP Paribas Mutual Fund,EQUITY,ELSS,1.33,Baroda BNP Paribas Mutual Fund
Baroda BNP Paribas Energy Opportunities Fund,Baroda BNP Paribas Mutual Fund,EQUITY,Thematic Fund,1.59,Baroda BNP Paribas Mutual Fund
Baroda BNP Paribas Equity Savings Fund,Baroda BNP Paribas Mutual Fund,HYBRID,Equity Savings Fund,1.1,Baroda BNP Paribas Mutual Fund
Baroda BNP Paribas Flexi Cap Fund,Baroda BNP Paribas Mutual Fund,EQUITY,Flexi Cap Fund,1.32,Baroda BNP Paribas Mutual Fund
Baroda BNP Paribas Focused Fund,Baroda BNP Paribas Mutual Fund,EQUITY,Focused Fund,1.5,Baroda BNP Paribas Mutual Fund
Baroda BNP Paribas Gilt Fund,Baroda BNP Paribas Mutual Fund,DEBT,Gilt Fund,0.12,Baroda BNP Paribas Mutual Fund
Baroda BNP Paribas Gold ETF FoF,Baroda BNP Paribas Mutual Fund,OTHERS,GOLD PLAN,0.32,Baroda BNP Paribas Mutual Fund
Baroda BNP Paribas Health & Wellness Fund,Baroda BNP Paribas Mutual Fund,EQUITY,Thematic Fund,1.57,Baroda BNP Paribas Mutual Fund
Baroda BNP Paribas Income Plus Arbitrage Active FOF,Baroda BNP Paribas Mutual Fund,DEBT,FOF Domestic Debt,0.17,Baroda BNP Paribas Mutual Fund
Baroda BNP Paribas India Consumption Fund,Baroda BNP Paribas Mutual Fund,EQUITY,Thematic Fund,1.32,Baroda BNP Paribas Mutual Fund
Baroda BNP Paribas Innovation Fund,Baroda BNP Paribas Mutual Fund,EQUITY,Thematic Fund,1.33,Baroda BNP Paribas Mutual Fund
Baroda BNP Paribas Large & Mid Cap Fund,Baroda BNP Paribas Mutual Fund,EQUITY,Large and Mid Cap Fu,1.25,Baroda BNP Paribas Mutual Fund
Baroda BNP Paribas Large Cap Fund,Baroda BNP Paribas Mutual Fund,EQUITY,Large Cap Fund,1.14,Baroda BNP Paribas Mutual Fund
Baroda BNP Paribas Liquid Fund,Baroda BNP Paribas Mutual Fund,DEBT,Liquid Fund,0.13,Baroda BNP Paribas Mutual Fund
Baroda BNP Paribas Low Duration Fund,Baroda BNP Paribas Mutual Fund,DEBT,Low Duration Fund,0.51,Baroda BNP Paribas Mutual Fund
Baroda BNP Paribas Manufacturing Fund,Baroda BNP Paribas Mutual Fund,EQUITY,Thematic Fund,1.32,Baroda BNP Paribas Mutual Fund
Baroda BNP Paribas Mid Cap Fund,Baroda BNP Paribas Mutual Fund,EQUITY,Mid Cap Fund,1.17,Baroda BNP Paribas Mutual Fund
Baroda BNP Paribas Money Market Fund,Baroda BNP Paribas Mutual Fund,DEBT,Money Market Fund,0.12,Baroda BNP Paribas Mutual Fund
Baroda BNP Paribas Multi Asset Active FoF,Baroda BNP Paribas Mutual Fund,HYBRID,FOF Domestic Hybrid,0.59,Baroda BNP Paribas Mutual Fund
Baroda BNP Paribas Multi Asset Fund,Baroda BNP Paribas Mutual Fund,HYBRID,Multi Asset Allocation,1.19,Baroda BNP Paribas Mutual Fund
Baroda BNP Paribas Multi Cap Fund,Baroda BNP Paribas Mutual Fund,EQUITY,Multi Cap Fund,1.12,Baroda BNP Paribas Mutual Fund
Baroda BNP Paribas NIFTY 50 Index Fund,Baroda BNP Paribas Mutual Fund,EQUITY,Index / ETF,0.33,Baroda BNP Paribas Mutual Fund
Baroda BNP Paribas NIFTY SDL December 2028 Index Fund,Baroda BNP Paribas Mutual Fund,DEBT,Medium to Long Duration Fund,0.28,Baroda BNP Paribas Mutual Fund
Baroda BNP Paribas Nifty Midcap 150 Index Fund,Baroda BNP Paribas Mutual Fund,EQUITY,Index / ETF,0.61,Baroda BNP Paribas Mutual Fund
Baroda BNP Paribas Nifty SDL December 2026 Index Fund,Baroda BNP Paribas Mutual Fund,DEBT,Medium to Long Duration Fund,0.26,Baroda BNP Paribas Mutual Fund
Baroda BNP Paribas Nifty200 Momentum 30 Index Fund,Baroda BNP Paribas Mutual Fund,EQUITY,Index / ETF,0.48,Baroda BNP Paribas Mutual Fund
Baroda BNP Paribas Overnight Fund,Baroda BNP Paribas Mutual Fund,DEBT,Overnight Fund,0.05,Baroda BNP Paribas Mutual Fund
Baroda BNP Paribas Retirement Fund,Baroda BNP Paribas Mutual Fund,HYBRID,Aggressive Hybrid Fund,1.57,Baroda BNP Paribas Mutual Fund
Baroda BNP Paribas Short Duration Fund,Baroda BNP Paribas Mutual Fund,DEBT,Short Duration Fund,0.55,Baroda BNP Paribas Mutual Fund
Baroda BNP Paribas Small Cap Fund,Baroda BNP Paribas Mutual Fund,EQUITY,Small Cap Fund,1.29,Baroda BNP Paribas Mutual Fund
Baroda BNP Paribas Ultra Short Duration Fund,Baroda BNP Paribas Mutual Fund,DEBT,Ultra Short Duration Fund,0.12,Baroda BNP Paribas Mutual Fund
Baroda BNP Paribas Value Fund,Baroda BNP Paribas Mutual Fund,EQUITY,Value Fund,1.31,Baroda BNP Paribas Mutual Fund
Canara Robeco Balanced Advantage Fund,Canara Robeco Mutual Fund,HYBRID,Balanced Advantage Fund,1.36,Canara Robeco Mutual Fund
Canara Robeco Banking and PSU Debt Fund,Canara Robeco Mutual Fund,DEBT,Banking and PSU Debt Fund,0.28,Canara Robeco Mutual Fund
Canara Robeco Conservative Hybrid Fund,Canara Robeco Mutual Fund,DEBT,Conservative Hybrid Fund,1.07,Canara Robeco Mutual Fund
Canara Robeco Consumer Trends Fund,Canara Robeco Mutual Fund,EQUITY,Thematic Fund,1.31,Canara Robeco Mutual Fund
Canara Robeco Corporate Bond Fund,Canara Robeco Mutual Fund,DEBT,Corporate Bond Fund,0.64,Canara Robeco Mutual Fund
Canara Robeco Dynamic Bond Fund,Canara Robeco Mutual Fund,DEBT,Dynamic Bond Fund,1.11,Canara Robeco Mutual Fund
Canara Robeco ELSS Tax Saver,Canara Robeco Mutual Fund,EQUITY,ELSS,0.96,Canara Robeco Mutual Fund
Canara Robeco Equity Hybrid Fund,Canara Robeco Mutual Fund,HYBRID,Aggressive Hybrid Fund,0.99,Canara Robeco Mutual Fund
Canara Robeco Flexi Cap Fund,Canara Robeco Mutual Fund,EQUITY,Flexi Cap Fund,0.92,Canara Robeco Mutual Fund
Canara Robeco Focused Fund,Canara Robeco Mutual Fund,EQUITY,Focused Fund,1.18,Canara Robeco Mutual Fund
Canara Robeco Gilt Fund,Canara Robeco Mutual Fund,DEBT,Gilt Fund,0.71,Canara Robeco Mutual Fund
Canara Robeco Income Fund,Canara Robeco Mutual Fund,DEBT,Medium to Long Duration Fund,1.2,Canara Robeco Mutual Fund
Canara Robeco Infrastructure Fund,Canara Robeco Mutual Fund,EQUITY,Thematic Fund,1.52,Canara Robeco Mutual Fund
Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund,EQUITY,Large Cap Fund,0.93,Canara Robeco Mutual Fund
Canara Robeco Large and Mid Cap Fund,Canara Robeco Mutual Fund,EQUITY,Large and Mid Cap Fu,0.9,Canara Robeco Mutual Fund
Canara Robeco Liquid Fund,Canara Robeco Mutual Fund,DEBT,Liquid Fund,0.08,Canara Robeco Mutual Fund
Canara Robeco Manufacturing Fund,Canara Robeco Mutual Fund,EQUITY,Thematic Fund,1.32,Canara Robeco Mutual Fund
Canara Robeco Mid Cap Fund,Canara Robeco Mutual Fund,EQUITY,Mid Cap Fund,1.13,Canara Robeco Mutual Fund
Canara Robeco Multi Asset Allocation Fund,Canara Robeco Mutual Fund,HYBRID,Multi Asset Allocation,1.16,Canara Robeco Mutual Fund
Canara Robeco Multi Cap Fund,Canara Robeco Mutual Fund,EQUITY,Multi Cap Fund,1.11,Canara Robeco Mutual Fund
Canara Robeco Overnight Fund,Canara Robeco Mutual Fund,DEBT,Overnight Fund,0.01,Canara Robeco Mutual Fund
Canara Robeco Savings Fund,Canara Robeco Mutual Fund,DEBT,Low Duration Fund,0.24,Canara Robeco Mutual Fund
Canara Robeco Short Duration Fund,Canara Robeco Mutual Fund,DEBT,Short Duration Fund,0.63,Canara Robeco Mutual Fund
Canara Robeco Small Cap Fund,Canara Robeco Mutual Fund,EQUITY,Small Cap Fund,0.94,Canara Robeco Mutual Fund
Canara Robeco Ultra Short Term Fund,Canara Robeco Mutual Fund,DEBT,Ultra Short Duration Fund,0.57,Canara Robeco Mutual Fund
Canara Robeco Value Fund,Canara Robeco Mutual Fund,EQUITY,Value Fund,1.39,Canara Robeco Mutual Fund
Capitalmind Flexi Cap Fund,Capitalmind Mutual Fund,EQUITY,Flexi Cap Fund,0.99,Capitalmind Mutual Fund
Capitalmind Liquid Fund,Capitalmind Mutual Fund,DEBT,Liquid Fund,0.14,Capitalmind Mutual Fund
DSP 10Y G-Sec Fund,DSP Mutual Fund,DEBT,Gilt Fund with 10 year constant duration,0.25,DSP Mutual Fund
DSP Aggressive Hybrid Fund,DSP Mutual Fund,HYBRID,Aggressive Hybrid Fund,0.94,DSP Mutual Fund
DSP Arbitrage Fund,DSP Mutual Fund,DEBT,Arbitrage Fund,0.52,DSP Mutual Fund
DSP BSE Sensex Next 30 Index Fund,DSP Mutual Fund,EQUITY,Index / ETF,0.45,DSP Mutual Fund
DSP Banking & Financial Services Fund,DSP Mutual Fund,EQUITY,Sectoral Fund,1.32,DSP Mutual Fund
DSP Banking & PSU Debt Fund,DSP Mutual Fund,DEBT,Banking and PSU Debt Fund,0.24,DSP Mutual Fund
DSP Bond Fund,DSP Mutual Fund,DEBT,Medium Duration Fund,0.35,DSP Mutual Fund
DSP Business Cycle Fund,DSP Mutual Fund,EQUITY,Thematic Fund,1.39,DSP Mutual Fund
DSP CRISIL-IBX 50-50 Gilt Plus SDL - April 2033 Index Fund,DSP Mutual Fund,DEBT,Medium to Long Duration Fund,0.17,DSP Mutual Fund
DSP Corporate Bond Fund,DSP Mutual Fund,DEBT,Corporate Bond Fund,0.22,DSP Mutual Fund
DSP Credit Risk Fund,DSP Mutual Fund,DEBT,Credit Risk Fund,0.29,DSP Mutual Fund
DSP Dynamic Asset Allocation Fund,DSP Mutual Fund,HYBRID,Dynamic Asset Allocation,1.03,DSP Mutual Fund
DSP ELSS Tax Saver Fund,DSP Mutual Fund,EQUITY,ELSS,0.8,DSP Mutual Fund
DSP Equity Savings Fund,DSP Mutual Fund,HYBRID,Equity Savings Fund,0.8,DSP Mutual Fund
DSP Flexi Cap Fund,DSP Mutual Fund,EQUITY,Flexi Cap Fund,0.9,DSP Mutual Fund
DSP Floater Fund,DSP Mutual Fund,DEBT,Floater Fund,0.25,DSP Mutual Fund
DSP Focused Fund,DSP Mutual Fund,EQUITY,Focused Fund,1.2,DSP Mutual Fund
DSP Gilt Fund,DSP Mutual Fund,DEBT,Gilt Fund,0.71,DSP Mutual Fund
DSP Global Clean Energy Overseas Equity Omni FoF,DSP Mutual Fund,EQUITY,FOF Overseas,0.7,DSP Mutual Fund
DSP Global Innovation Overseas Equity Omni FoF,DSP Mutual Fund,EQUITY,FOF Overseas,0.65,DSP Mutual Fund
DSP Gold ETF FoF,DSP Mutual Fund,OTHERS,GOLD PLAN,0.32,DSP Mutual Fund
DSP Healthcare Fund,DSP Mutual Fund,EQUITY,Sectoral Fund,1.05,DSP Mutual Fund
DSP Income Plus Arbitrage Omni FoF,DSP Mutual Fund,DEBT,FOF Domestic Debt,0.12,DSP Mutual Fund
DSP India T.I.G.E.R. Fund,DSP Mutual Fund,EQUITY,Thematic Fund,1.01,DSP Mutual Fund
DSP Large & Mid Cap Fund,DSP Mutual Fund,EQUITY,Large and Mid Cap Fu,0.91,DSP Mutual Fund
DSP Large Cap Fund,DSP Mutual Fund,EQUITY,Large Cap Fund,1.0,DSP Mutual Fund
DSP Liquidity Fund,DSP Mutual Fund,DEBT,Liquid Fund,0.09,DSP Mutual Fund
DSP Low Duration Fund,DSP Mutual Fund,DEBT,Low Duration Fund,0.29,DSP Mutual Fund
DSP Midcap Fund,DSP Mutual Fund,EQUITY,Mid Cap Fund,0.85,DSP Mutual Fund
DSP Multi Asset Allocation Fund,DSP Mutual Fund,HYBRID,Multi Asset Allocation,0.71,DSP Mutual Fund
DSP Multicap Fund,DSP Mutual Fund,EQUITY,Multi Cap Fund,1.04,DSP Mutual Fund
DSP Natural Resources and New Energy Fund,DSP Mutual Fund,EQUITY,Sectoral Fund,0.78,DSP Mutual Fund
